occ_code,observed_exposure
51-4035,0.0
51-4041,0.0
51-4051,0.0
51-4052,0.0
51-4061,0.0
51-4062,0.0
51-4071,0.0
51-4072,0.0
51-4081,0.0
51-4111,0.0
51-4121,0.0
51-4122,0.0
51-4191,0.0
51-4192,0.0
51-4193,0.0
51-4194,0.0
51-5111,0.1018
51-5112,0.0
51-5113,0.0
51-6011,0.0
51-6021,0.0
51-6031,0.0
51-6041,0.0
51-6042,0.0
51-6051,0.0
51-6052,0.0342
51-6061,0.0211
51-6062,0.0152
51-6063,0.032
51-6064,0.0
51-6091,0.0
51-6092,0.0
51-6093,0.0
51-7011,0.0
51-7021,0.0
51-7031,0.0
51-7032,0.0301
51-7041,0.0
51-7042,0.0
51-8011,0.0
51-8012,0.0
51-8013,0.0257
51-8021,0.0
51-8031,0.0
51-8091,0.0
51-8092,0.0723
51-8093,0.0405
51-8099,0.0
51-9011,0.0
51-9012,0.0
51-9021,0.0425
51-9022,0.0
51-9023,0.0
51-9031,0.0
51-9032,0.0321
51-9041,0.0
51-9051,0.0
51-9061,0.0324
51-9071,0.0
51-9081,0.0
51-9082,0.0
51-9083,0.0
51-9111,0.0
51-9123,0.0
51-9124,0.0
51-9141,0.0
51-9151,0.0108
51-9161,0.0215
51-9162,0.1207
51-9191,0.0
51-9192,0.0
51-9193,0.0
51-9194,0.0
51-9195,0.0
51-9196,0.0
51-9197,0.0
51-9198,0.0393
53-1041,0.0
53-2011,0.0
53-2012,0.0
53-2021,0.0
53-2022,0.0476
53-2031,0.0913
53-3011,0.0
53-3031,0.0281
53-3032,0.0
53-3033,0.0
53-3051,0.0
53-3052,0.0
53-3053,0.0
53-3054,0.0
53-4011,0.0
53-4013,0.0
53-4022,0.0
53-4031,0.0
53-4041,0.0
53-5011,0.0
53-5021,0.0
53-5022,0.0
53-5031,0.0
53-6011,0.0
53-6021,0.0
53-6031,0.0
53-6041,0.0
53-6051,0.0
53-6061,0.1169
53-7011,0.0
53-7021,0.0
53-7031,0.0
53-7041,0.0
53-7051,0.0
53-7061,0.0
53-7062,0.0
53-7063,0.0
53-7064,0.0
53-7065,0.0
53-7071,0.0
53-7072,0.0
53-7073,0.0
53-7081,0.0
53-7121,0.0
